x	cos(th)	sin(th)	v	thDot	
0.014263362	-0.9999754	0.007015424	0.0034534987	-0.0015719269	
0.014286183	-0.9999748	0.007104945	-0.00071430916	0.0004973285	
0.014308996	-0.99997413	0.007196856	0.003451217	-0.0016000327	
0.014331779	-0.9999734	0.0072910907	-0.000716589	0.0004688683	
0.014354554	-0.9999727	0.007387775	0.003448939	-0.0016288512	
0.0143773	-0.999972	0.0074868435	-0.00071886496	0.00043967634	
0.014400036	-0.9999712	0.007588424	0.003446665	-0.0016584202	
0.014422744	-0.99997044	0.007692453	-0.0007211372	0.00040971415	
0.014445443	-0.9999696	0.0077990596	0.0034443946	-0.0016887789	
0.014468113	-0.9999687	0.007908182	-0.0007234056	0.0003789423	
0.014490774	-0.9999678	0.008019952	0.003442128	-0.001719967	
0.014513406	-0.9999669	0.008134308	-0.0007256703	0.00034732022	
0.014536029	-0.99996597	0.008251384	0.0034398653	-0.0017520258	
0.014558624	-0.99996495	0.008371121	-0.00072793115	0.00031480633	
0.014511784	-0.9999668	0.008146542	-0.0048922556	0.0023800249	
0.014464993	-0.9999686	0.007924969	-0.0007232496	0.00027930364	
0.014487656	-0.9999676	0.008053341	0.003442284	-0.0018195735	
0.014510291	-0.9999665	0.008184298	-0.00072551455	0.00024771094	
0.014532917	-0.9999654	0.008317977	0.0034400208	-0.0018516701	
0.014555514	-0.99996424	0.008454326	-0.0007277757	0.00021509093	
0.014508677	-0.999966	0.008246374	-0.0048921006	0.002280204	
0.014461888	-0.9999677	0.008041448	-0.00072309445	0.00017934715	
0.014415129	-0.99996924	0.00783938	-0.004887423	0.0022453337	
0.014368419	-0.9999708	0.007640194	-0.00071842095	0.00014532382	
0.014391162	-0.99996966	0.00779084	0.0034471084	-0.0019528877	
0.014413878	-0.99996847	0.007943963	-0.0007206939	0.00011502503	
0.0143671585	-0.99996996	0.007752593	-0.0048850244	0.0021812548	
0.014320488	-0.9999714	0.0075640683	-0.0007160244	8.146313e-05	
0.014343272	-0.99997014	0.007725341	0.003449503	-0.0020165518	
0.014366027	-0.9999689	0.007889058	-0.00071830134	5.153779e-05	
0.014319348	-0.9999703	0.007708257	-0.004882634	0.0021179223	
0.014272717	-0.9999716	0.0075302757	-0.0007136359	1.8262697e-05	
